"","sdimx","sdimy","cell_ID"
"356",6257.98,-699.51,"cell_356"
"357",6241.22,-993.52,"cell_357"
"358",6246.83,-475.36,"cell_358"
"359",6233.12,-1725.6,"cell_359"
"360",6214.46,-775.74,"cell_360"
"361",6224.08,-914.75,"cell_361"
"362",6229.47,-1374.1,"cell_362"
"363",6198.16,-847.67,"cell_363"
"364",6211.56,-1124.1,"cell_364"
"365",6192.55,-499,"cell_365"
"366",6201.32,-336.15,"cell_366"
"367",6179.26,-1539.6,"cell_367"
"368",6116.47,-1473.9,"cell_368"
"369",6087.17,-904.01,"cell_369"
"370",6072.37,-520.84,"cell_370"
"371",6038.97,-413.05,"cell_371"
"372",6038.87,-1345.6,"cell_372"
"373",6017.67,-1487.5,"cell_373"
"374",6005.87,-1010.8,"cell_374"
"375",5996.07,-271.68,"cell_375"
"376",5980.97,-475.72,"cell_376"
"377",5989.77,-1259.8,"cell_377"
"378",5971.07,-580.9,"cell_378"
"379",5950.47,-1083.2,"cell_379"
"380",5955.67,-1612.4,"cell_380"
"381",5963.77,-748.67,"cell_381"
"382",5923.57,-1758.6,"cell_382"
"383",5918.57,-894.31,"cell_383"
"384",5909.47,-1354,"cell_384"
"385",5858.87,-1227.8,"cell_385"
"386",5850.27,-536.66,"cell_386"
"387",5804.97,-1534.4,"cell_387"
"388",5807.27,-784.88,"cell_388"
"389",5798.97,-432.49,"cell_389"
"390",5773.97,-1147.6,"cell_390"
"391",5739.27,-303.16,"cell_391"
"392",5693.07,-808.9,"cell_392"
"393",5669.27,-1609.4,"cell_393"
"394",5664.17,-1101.1,"cell_394"
"395",5647.17,-972.21,"cell_395"
"396",5623.87,-1185.6,"cell_396"
"397",5615.97,-1413.4,"cell_397"
"398",5614.07,-1297.3,"cell_398"
"399",5605.77,-762.65,"cell_399"
"400",5595.37,-430.62,"cell_400"
"401",5576.57,-1702.9,"cell_401"
"402",5568.87,-592.77,"cell_402"
"403",5567.07,-1867,"cell_403"
"404",5544.67,-1413.6,"cell_404"
"405",5525.57,-1781.4,"cell_405"
"406",5533.77,-1137.3,"cell_406"
"407",5502.67,-422.92,"cell_407"
"408",5495.17,-1050.7,"cell_408"
"409",5479.57,-1219.8,"cell_409"
"410",5454.17,-843.53,"cell_410"
"411",5444.27,-1895.4,"cell_411"
"412",5396.57,-447.82,"cell_412"
"413",5395.87,-538.71,"cell_413"
"414",5386.37,-1185.9,"cell_414"
"415",5359.97,-972.19,"cell_415"
"416",5360.37,-325.14,"cell_416"
"417",5388.07,-1581.5,"cell_417"
"418",5350.27,-1802.9,"cell_418"
"419",5294.27,-1108.7,"cell_419"
"420",6633.67,-1596.6,"cell_420"
"421",6480.8,-1298.9,"cell_421"
"422",6408.49,-1352.2,"cell_422"
"423",7552.12,429.62,"cell_423"
"424",7530.35,184.72,"cell_424"
"425",7502.43,609.95,"cell_425"
"426",7488.42,262.72,"cell_426"
"427",7461.32,-58.0799999999999,"cell_427"
"428",7395.16,650.18,"cell_428"
"429",7398.69,800.32,"cell_429"
"430",7390.71,-97.78,"cell_430"
"431",7360.07,388.12,"cell_431"
"432",7318.74,581.52,"cell_432"
"433",7295.59,6.81999999999994,"cell_433"
"434",7248.82,72.52,"cell_434"
"435",7261.23,-231.48,"cell_435"
"436",7234.12,788.95,"cell_436"
"437",7211.56,-19.28,"cell_437"
"438",7209.17,-310.28,"cell_438"
"439",7160.63,295.62,"cell_439"
"440",7137.62,36.9200000000001,"cell_440"
"441",7124.44,843.65,"cell_441"
"442",7108.25,-24.5799999999999,"cell_442"
"443",7100.08,525.3,"cell_443"
"444",7015.45,458.09,"cell_444"
"445",7023.28,865.12,"cell_445"
"446",7003.05,238.12,"cell_446"
"447",6944.04,385.52,"cell_447"
"448",6918.81,-38.78,"cell_448"
"449",6895.21,412.42,"cell_449"
"450",6875.36,-256.58,"cell_450"
"451",6870.82,681.8,"cell_451"
"452",6881.56,91.3199999999999,"cell_452"
"453",6838.85,423.02,"cell_453"
"454",6825.93,223.82,"cell_454"
"455",6789.47,-72.98,"cell_455"
"456",6729.67,-266.48,"cell_456"
"457",6732.57,923.04,"cell_457"
"458",6716.77,297.22,"cell_458"
"459",6690.27,1077.03,"cell_459"
"460",6669.17,-19.48,"cell_460"
"461",6665.47,714.33,"cell_461"
"462",6624.57,889.06,"cell_462"
"463",6615.87,1036.35,"cell_463"
"464",6621.07,-312.98,"cell_464"
"465",6615.17,788.88,"cell_465"
"466",6571.67,847.55,"cell_466"
"467",6541.77,48.72,"cell_467"
"468",6536.77,733.59,"cell_468"
"469",6528.47,787.31,"cell_469"
"470",6520.87,1004.28,"cell_470"
"471",6467.07,1080.17,"cell_471"
"472",6467.47,-88.78,"cell_472"
"473",6453.07,689.88,"cell_473"
"474",6408.47,826.31,"cell_474"
"475",6368.87,-221.88,"cell_475"
"476",6358.77,379.52,"cell_476"
"477",6360.87,-35.3800000000001,"cell_477"
"478",6338.87,85.6199999999999,"cell_478"
"479",6329.07,225.72,"cell_479"
"480",6312.77,871.45,"cell_480"
"481",6297.37,979.4,"cell_481"
"482",6205.07,-130.38,"cell_482"
"483",6202.27,360.72,"cell_483"
"484",6139.57,-28.98,"cell_484"
"485",6130.87,240.42,"cell_485"
"486",7421.66,563.61,"cell_486"
"487",7384.47,500.31,"cell_487"
"488",7342.48,921.66,"cell_488"
"489",7253.27,936.48,"cell_489"
"490",7253.4,263.72,"cell_490"
"491",7237.37,200.32,"cell_491"
"492",7224.04,382.12,"cell_492"
"493",7206.83,631.2,"cell_493"
"494",7125.99,167.42,"cell_494"
"495",6992.58,103.02,"cell_495"
"496",6704.27,-124.68,"cell_496"
"497",6666.77,378.82,"cell_497"
"498",6589.07,505.09,"cell_498"
"499",6560.97,-105.98,"cell_499"
"500",6521.87,357.02,"cell_500"
"501",6515.97,590.03,"cell_501"
"502",6482.57,798.99,"cell_502"
"503",6399.67,-153.58,"cell_503"
"504",6395.27,-311.48,"cell_504"
"505",6290.07,-200.78,"cell_505"
"506",6285.57,547.12,"cell_506"
"507",6252.67,678.91,"cell_507"
"508",6241.27,787.18,"cell_508"
"509",6256.27,-289.88,"cell_509"
"510",6207.27,565.81,"cell_510"
"511",6139.17,670.56,"cell_511"
"512",7406.31,1036.95,"cell_512"
"513",6847.45,1179.46,"cell_513"
"514",6662.67,1207.87,"cell_514"
"515",6645.07,-519.38,"cell_515"
"516",6367.17,1240.76,"cell_516"
"517",6132.47,1002.12,"cell_517"
"518",6036.27,966.46,"cell_518"
"519",6028.17,798.77,"cell_519"
"520",5980.97,308.12,"cell_520"
"521",5931.57,1141.04,"cell_521"
"522",5921.07,981.4,"cell_522"
"523",5899.27,382.42,"cell_523"
