"","x"
"491","Clcf1"
"492","Clcn2"
"493","Clcn6"
"494","Cldn11"
"495","Cldn18"
"496","Cldn4"
"497","Cldn5"
"498","Cldn9"
"499","Clec14a"
"500","Clec16a"
"501","Clec1a"
"502","Clec4f"
"503","Clec5a"
"504","Clip1"
"505","Clip4"
"506","Clrn1"
"507","Clstn2"
"508","Clvs1"
"509","Cmtm3"
"510","Cmtm4"
"511","Cmtm6"
"512","Cmtr1"
"513","Cmya5"
"514","Cndp1"
"515","Cnga2"
"516","Cnga3"
"517","Cnga4"
"518","Cnksr3"
"519","Cnnm2"
"520","Cnot1"
"521","Cnot10"
"522","Cnot4"
"523","Cnp"
"524","Cnppd1"
"525","Cnpy1"
"526","Cnpy3"
"527","Cnr2"
"528","Cnst"
"529","Cntn2"
"530","Cntn3"
"531","Cntnap3"
"532","Cntnap4"
"533","Cntnap5b"
"534","Cntrob"
"535","Cog4"
"536","Cog5"
"537","Cog8"
"538","Coil"
"539","Col11a1"
"540","Col11a2"
"541","Col12a1"
"542","Col18a1"
"543","Col19a1"
"544","Col1a1"
"545","Col20a1"
"546","Col22a1"
"547","Col24a1"
"548","Col28a1"
"549","Col2a1"
"550","Col4a3"
"551","Col5a2"
"552","Col6a1"
"553","Col6a2"
"554","Col6a4"
"555","Colgalt2"
"556","Comp"
"557","Copb2"
"558","Copg2"
"559","Cops4"
"560","Cops7b"
"561","Coro1c"
"562","Coro2a"
"563","Coro7"
"564","Cox15"
"565","Cp"
"566","Cpeb4"
"567","Cpox"
"568","Cpped1"
"569","Cpq"
"570","Cpsf3"
"571","Cpsf4"
"572","Cpsf6"
"573","Cpsf7"
"574","Cpt2"
"575","Cpz"
"576","Cr2"
"577","Crb2"
"578","Creb3l1"
"579","Creg2"
"580","Creld1"
"581","Crim1"
"582","Crkl"
"583","Crlf1"
"584","Crlf3"
"585","Crot"
"586","Crtac1"
"587","Crtap"
"588","Cs"
"589","Csk"
"590","Csnk1d"
"591","Csnk1g3"
"592","Cspg4"
"593","Cspp1"
"594","Csrnp2"
"595","Csrp1"
"596","Cst6"
"597","Ctc1"
"598","Ctcf"
"599","Ctdspl2"
"600","Ctif"
"601","Ctnna1"
"602","Ctnnd2"
"603","Ctps"
"604","Ctsa"
"605","Ctsd"
"606","Ctsf"
"607","Cttnbp2nl"
"608","Cuedc2"
"609","Cul3"
"610","Cul4a"
"611","Cutal"
"612","Cux2"
"613","Cwc25"
"614","Cwf19l1"
"615","Cxcl9"
"616","Cxcr4"
"617","Cyb5r1"
"618","Cyb5r2"
"619","Cybb"
"620","Cyld"
"621","Cyp11a1"
"622","Cyp1a1"
"623","Cyp21a1"
"624","Cyp24a1"
"625","Cyp26b1"
"626","Cyp26c1"
"627","Cyp2d22"
"628","Cyp2f2"
"629","Cyp2s1"
"630","Cyp2u1"
"631","Cyp2w1"
"632","Cyp39a1"
"633","Cyp4b1"
"634","Cyp4v3"
"635","Cyp7a1"
"636","Cyr61"
"637","Cysltr1"
"638","Cyth2"
"639","Cyth3"
"640","Daam1"
"641","Dab2"
"642","Dab2ip"
"643","Dach1"
"644","Dact1"
"645","Dalrd3"
"646","Dapk1"
"647","Dapk2"
"648","Dapp1"
"649","Daxx"
"650","Dbpht2"
"651","Dbt"
"652","Dcaf12l2"
"653","Dcaf15"
"654","Dcaf5"
"655","Dcaf6"
"656","Dcaf8"
"657","Dcakd"
"658","Dcbld2"
"659","Dcc"
"660","Dchs1"
"661","Dclk3"
"662","Dctn4"
"663","Ddb2"
"664","Ddc"
"665","Ddhd1"
"666","Ddhd2"
"667","Ddost"
"668","Ddx21"
"669","Ddx28"
"670","Ddx31"
"671","Ddx42"
"672","Ddx47"
"673","Ddx50"
"674","Ddx52"
"675","Ddx54"
"676","Deaf1"
"677","Dedd2"
"678","Dennd5a"
"679","Dennd5b"
"680","Depdc5"
"681","Des"
"682","Dgat2"
"683","Dgcr8"
"684","Dhfr"
"685","Dhodh"
"686","Dhrs7b"
"687","Dhrs9"
"688","Dhx58"
"689","Dhx9"
"690","Diablo"
"691","Dicer1"
"692","Dido1"
"693","Diexf"
"694","Dio1"
"695","Dio3"
"696","Dip2a"
"697","Dip2b"
"698","Dip2c"
"699","Diras2"
"700","Dirc2"
"701","Dis3"
"702","Dis3l"
"703","Disc1"
"704","Disp1"
"705","Dlgap3"
"706","Dll1"
"707","Dll3"
"708","Dlx1"
"709","Dmap1"
"710","Dmpk"
"711","Dmrt2"
"712","Dmrta1"
"713","Dmrta2"
"714","Dmrtb1"
"715","Dmxl2"
"716","Dna2"
"717","Dnah2"
"718","Dnah9"
"719","Dnaic1"
"720","Dnaic2"
"721","Dnaja4"
"722","Dnajb1"
"723","Dnajb12"
"724","Dnajb5"
"725","Dnajc13"
"726","Dnajc18"
"727","Dnajc22"
"728","Dnal1"
"729","Dnmbp"
"730","Dnmt1"
"731","Dnmt3b"
"732","Dntt"
"733","Dock10"
"734","Dock3"
"735","Dolk"
"736","Dpcd"
"737","Dpcr1"
"738","Dpf1"
"739","Dph7"
"740","Dpp7"
"741","Dpt"
"742","Dpy19l4"
"743","Dpysl5"
"744","Dqx1"
"745","Drc1"
"746","Drd2"
"747","Drg2"
"748","Dsc1"
"749","Dscam"
"750","Dsg1a"
"751","Dsg4"
"752","Dtl"
"753","Dtx1"
"754","Dtx3"
"755","Duox1"
"756","Dus3l"
"757","Dusp1"
"758","Dusp11"
"759","Dusp14"
"760","Dusp18"
"761","Dusp26"
"762","Dusp6"
"763","Dvl1"
"764","Dvl2"
"765","Dvl3"
"766","Dync1li1"
"767","Dyrk3"
"768","Dysf"
"769","E2f7"
"770","E2f8"
"771","E4f1"
"772","Eapp"
"773","Ears2"
"774","Ebf1"
"775","Ebf4"
"776","Ebna1bp2"
"777","Ebp"
"778","Ecel1"
"779","Echdc3"
"780","Ect2l"
"781","Edem3"
"782","Edil3"
"783","Ednra"
"784","Eef1d"
"785","Eef2k"
"786","Efcab12"
"787","Efcab14"
"788","Efcab5"
"789","Efcab6"
"790","Efhd1"
"791","Efna2"
"792","Efna5"
"793","Efr3b"
"794","Eftud2"
"795","Egf"
"796","Egr2"
"797","Ehbp1"
"798","Ehd2"
"799","Eif1a"
"800","Eif2b5"
"801","Eif2s1"
"802","Eif2s3x"
"803","Eif3l"
"804","Eif4h"
"805","Eif6"
"806","Elavl4"
"807","Elf2"
"808","Elfn2"
"809","Elk1"
"810","Elk4"
"811","Elmod2"
"812","Elovl3"
"813","Elovl4"
"814","Elovl6"
"815","Elp2"
"816","Emc10"
"817","Emc3"
"818","Eme2"
"819","Eml6"
"820","Emx2"
"821","En2"
"822","Enam"
"823","Endov"
"824","Enox2"
"825","Enpp3"
"826","Enpp4"
"827","Entpd8"
"828","Eogt"
"829","Ep400"
"830","Epg5"
"831","Epha2"
"832","Epha3"
"833","Ephb2"
"834","Ephx2"
"835","Epn1"
"836","Eps15"
"837","Eps15l1"
"838","Eps8l2"
"839","Eral1"
"840","Erbb3"
"841","Erc2"
"842","Ercc4"
"843","Ercc5"
"844","Ergic1"
"845","Eri1"
"846","Erlec1"
"847","Erlin1"
"848","Ermn"
"849","Ermp1"
"850","Ern2"
"851","Erp44"
"852","Errfi1"
"853","Espl1"
"854","Esr2"
"855","Esrp1"
"856","Esrrb"
"857","Etaa1"
"858","Etl4"
"859","Ets1"
"860","Eva1a"
"861","Evc"
"862","Evc2"
"863","Evpl"
"864","Evx1"
"865","Exd1"
"866","Exd2"
"867","Exoc1"
"868","Exoc3l4"
"869","Exoc8"
"870","Exosc10"
"871","Exosc4"
"872","Eya1"
"873","Eya2"
"874","Eya4"
"875","Ezh1"
"876","Ezr"
"877","F2r"
"878","F2rl1"
"879","F2rl3"
"880","F8"
"881","Fa2h"
"882","Faah"
"883","Fadd"
"884","Faf1"
"885","Faim2"
