,FSV,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval
4505,0.4654528115015338,4,Lrrc40,137.5662945790639,1.1449107676751955,-1.1141628097224014,-1.200759633560411,0.6229391684457358,SE,98,1.4814663487342068,27.958779904291532,0.0020515918731689453,20.568195534127092,-1.473068910006333,0.35890610028393155,0.5491143878819497,0.9595801761992182
3220,0.9999545948948108,4,Siah2,76.77721626664899,4.5399929762484854e-05,11.218791541493573,-2.5573181488714325,6.492745607334533,SE,98,13.434313976413533,4719151792.279374,0.002984762191772461,-4.097713168304857,10.86013456529389,0.35865697619968273,0.5492530642071141,0.9595801761992182
7044,0.07506149121913852,4,Arhgef3,441.6430444369237,11.496282122542409,-9.047019844221552,-2.6729381204720517,0.38673885803543795,SE,98,0.019548656694129297,3.396095327944557,0.005029201507568359,36.43390960312539,-9.405444911787612,0.35842506756605985,0.549382216276901,0.9595801761992182
358,0.9999545948948108,4,Fam20c,76.77721626664899,4.5399929762484854e-05,-4.9716622053732635,-2.2621509980672982,5.1088256832449614,SE,98,10.70777082099066,3761382676.4818616,0.0017096996307373047,28.283194325428816,-5.329229117947165,0.35756691257390116,0.5498606248751258,0.9595801761992182
3478,0.9999545948948108,4,Ctu1,76.77721626664899,4.5399929762484854e-05,15.089729600261933,-1.616911310513285,2.619987912824713,SE,98,10.251915302219688,3601251582.902349,0.0015881061553955078,-11.839589285841576,14.732412336462403,0.3573172637995299,0.5499999466841805,0.9595801761992182
8607,0.04729727748266038,4,Adnp2,791.3180511624732,16.625114011766506,6.218985491018287,-2.8935744024356143,0.24993947745897005,SE,98,0.015130623975684128,5.936750760813032,0.003487110137939453,5.9018989326457145,5.861727920097508,0.3572575709207797,0.5500332693511044,0.9595801761992182
3568,0.9999545948948106,4,Ackr4,76.77721626664899,4.5399929762484854e-05,20.5877016799096,-1.8035364654146493,3.244612085254597,SE,98,10.407934321750453,3656057316.700052,0.0016074180603027344,-22.83553344513691,20.230601743388576,0.3570999365210241,0.5501212845909725,0.9595801761992182
1262,0.9999545948948106,4,Zdhhc9,76.77721626664899,4.5399929762484854e-05,-9.919498707978704,-2.1832640066906324,4.770054517631744,SE,98,10.329157065334417,3628384758.8336854,0.0016012191772460938,38.1788673306397,-10.276508889105287,0.3570101811265829,0.5501714113366758,0.9595801761992182
9202,0.01819596463545551,4,Rbm6,1417.851511493707,34.66843419947533,0.10276284133865943,-1.4916703412070074,0.033709923722103144,SE,98,0.002798136711102601,6.596863025314218,0.0016026496887207031,18.13434423200497,-0.25400384748866145,0.3567666888273209,0.5503074404064592,0.9595801761992182
6263,0.173091513767818,4,Macc1,246.48569360067208,4.686922254801237,-2.8444873127150174,-1.2892195756104825,0.23431828685235892,SE,98,0.06653924087243915,3.1397795980799796,0.002874135971069336,24.028844540112324,-3.2012373078894996,0.35674999517448214,0.5503167687661883,0.9595801761992182
5691,0.15122085529995463,4,Ldoc1l,246.48569360067208,5.506670450240216,23.789191401699995,-3.745103350134059,1.7013825622366405,SE,98,0.05180149198101853,2.9557435592958585,0.003675222396850586,-29.2385128887177,23.43319188955752,0.3559995121424748,0.5507364424729752,0.9595801761992182
5316,0.3436861149883312,4,Rpusd1,137.5662945790639,1.9037541082877947,-5.52112722732474,-2.976050633184141,2.8015599655501937,SE,98,0.5022005049130648,11.077581479252643,0.001956462860107422,29.38212436933177,-5.877011294592734,0.3558840672679935,0.5508010530256626,0.9595801761992182
7622,0.0637386614664665,4,Atpaf1,441.6430444369237,13.704269520377723,-4.408574465677958,-2.1648958311063304,0.2276931254746759,SE,98,0.014300803518766286,3.29675402675327,0.004815340042114258,27.157018846038206,-4.764295225904476,0.355720760226518,0.5508924746688831,0.9595801761992182
6711,0.07921725581098481,4,Coil,441.6430444369237,10.84423993396424,8.077645515962061,-1.8888542575613334,0.20149024670652585,SE,98,0.01737204099307019,2.753580557159671,0.004300594329833984,2.184578882758167,7.722031569913952,0.35561394604810914,0.5509522861815126,0.9595801761992182
9223,0.02500022529981698,4,Paqr4,1417.851511493707,25.057924208710915,-2.4210625317861343,-2.0547050633378525,0.07330838308664624,SE,98,0.005577554994130816,7.161757976423224,0.002334117889404297,23.181994978254558,-2.7765745702239713,0.35551203843783696,0.5510093615712645,0.9595801761992182
6762,0.06675192343722265,4,Filip1,441.6430444369237,13.043527529924008,-6.956396940866881,-0.7569534835411462,0.03303756468114852,SE,98,0.018069725953447812,3.8430340145033592,0.004992485046386719,32.25266379641605,-7.311705417758105,0.35530847689122425,0.5511234034799939,0.9595801761992182
7878,0.035978545671925356,4,Npas2,791.3180511624732,22.11497555479523,-9.028028984760311,-1.6574912627919225,0.0725840885195615,SE,98,0.009076959286806142,5.882689961047201,0.002574920654296875,36.39592788420291,-9.383183525955701,0.3551545411953896,0.5512096727505276,0.9595801761992182
5961,0.12995331428545479,4,Tnrc18,246.48569360067208,6.568425427649329,-4.760099863985431,-1.8316455333488708,0.36774646008097367,SE,98,0.041610544979530845,2.9711842704036098,0.003904104232788086,27.86006964265315,-5.115167291189266,0.355067427203835,0.5512585047555878,0.9595801761992182
8142,0.05015341440896912,4,Cecr6,791.3180511624732,15.631344324722374,-12.784172331513304,-3.8415779821138694,0.4535147448804894,SE,98,0.014180883077229065,5.0048356497251,0.0035021305084228516,43.9082145777089,-13.139071181950897,0.35489885043759273,0.5513530240164053,0.9595801761992182
7326,0.06817626587922777,4,Ltf,441.6430444369237,12.751530011534474,-4.6234138086247185,-2.538617368014259,0.3265713154371006,SE,98,0.017108642922342553,3.5076329628614427,0.004213094711303711,27.586697531931726,-4.978100657262303,0.35468684863758426,0.5514719344335672,0.9595801761992182
8289,0.041973688980485285,4,Mad2l1bp,791.3180511624732,18.83838486235637,-9.646493667210024,-1.4342172699583513,0.06049145043011546,SE,98,0.011889923325564523,5.7993237083825,0.003486156463623047,37.63285724910234,-10.001115552230004,0.3546218850199807,0.5515083817363473,0.9595801761992182
5462,0.39461549325660544,4,Yod1,137.5662945790639,1.5293906044951535,-8.17293364112016,-2.171804801859288,1.7054796918120325,SE,98,0.7806751979576226,15.711437044009505,0.001909494400024414,34.68573719692261,-8.527542038740336,0.3546083976201757,0.5515159492978664,0.9595801761992182
7884,0.05718934370739704,4,Oas1b,791.3180511624732,13.606697774256814,-3.2111684148151767,-1.9047446796965446,0.12221995915100053,SE,98,0.02147313827488956,5.992754329564147,0.0032951831817626953,24.762206744312643,-3.565539911171072,0.3543714963558955,0.551648902553482,0.9595801761992182
2503,0.9999545948948108,4,Mtmr9,76.77721626664899,4.5399929762484854e-05,0.12811728591077554,-3.7197060516544567,13.696354410403188,SE,98,12.372547820812109,4346178846.6578,0.0016102790832519531,18.083635342860738,-0.22579949313609404,0.3539167790468696,0.5519042668222625,0.9595801761992182
